,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
1540,Rp 475 Juta,Cicilan: 1 Jutaan per bulan,Rumah di Padasuka Jatihandap Cicaheum Cikadut Arcamanik Antapani,"Padasuka, Bandung",2,1,1,LT : 72 m²,LB : 40 m²
1541,Rp 680 Juta,Cicilan: 2 Jutaan per bulan,Rumah 2 Lantai Botanical View Residence dkt Kota Baru Parahyangan Tol Padalarang IKEA WAHOO,"Padalarang, Bandung",2,1,1,LT : 72 m²,LB : 57 m²
1542,Rp 680 Juta,Cicilan: 2 Jutaan per bulan,Rumah 2 Lantai Botanical View Residence dkt Tol Padalarang Kota Baru Parahyangan IKEA WAHOO,"Padalarang, Bandung",2,1,1,LT : 72 m²,LB : 57 m²
1543,Rp 8 Miliar,Cicilan: 29 Jutaan per bulan,"Rumah Mewah View City Sangat Nyaman di Resor Dago Pakar, Bandung","Dago Pakar, Bandung",3,4,2,LT : 410 m²,LB : 600 m²
1544,"Rp 6,9 Miliar",Cicilan: 25 Jutaan per bulan,Rumah Mewah Modern Harga Murah di Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",4,3,2,LT : 375 m²,LB : 275 m²
1545,"Rp 3,6 Miliar",Cicilan: 13 Jutaan per bulan,"Rumah baru 2 lantai minimalis modern Setra duta Grande , Bandung","Setra Duta, Bandung",3,3,2,LT : 127 m²,LB : 200 m²
1546,"Rp 2,29 Miliar",Cicilan: 8 Jutaan per bulan,Rumah harga paling murah di Tarubhawana Kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 120 m²,LB : 94 m²
1547,"Rp 3,6 Miliar",Cicilan: 13 Jutaan per bulan,Turun harga beli pasti cuan rumah baru Singgasana Pradana Bandung,"Singgasana, Bandung",3,3,2,LT : 180 m²,LB : 180 m²
1548,"Rp 2,55 Miliar",Cicilan: 9 Jutaan per bulan,Rumah baru minimalis full furnished  di kota Baru Parahyangan,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 108 m²,LB : 80 m²
1549,"Rp 2,1 Miliar",Cicilan: 7 Jutaan per bulan,"Rumah Harga Murah Ada Kolam Renang di Setiabudi Regency, Bandung","Setiabudi, Bandung",3,3,2,LT : 152 m²,LB : 200 m²
1550,"Rp 1,85 Miliar",Cicilan: 6 Jutaan per bulan,"Rumah Baru Minimalis Dekat Pusat Kota di Leuwi Panjang, Bandung","Leuwi Panjang, Bandung",2,2,2,LT : 96 m²,LB : 90 m²
1551,"Rp 4,9 Miliar",Cicilan: 18 Jutaan per bulan,Harga turun lagi butuh uang rumah baru Singgasana Pradana Bandung,"Singgasana, Bandung",4,4,3,LT : 200 m²,LB : 300 m²
1552,"Rp 3,6 Miliar",Cicilan: 13 Jutaan per bulan,Rumah sangat terawat dan bagus dekat pusat Bandung kota di Garuda,"Bandung Kota, Bandung",3,2,2,LT : 248 m²,LB : 200 m²
1553,Rp 32 Miliar,Cicilan: 118 Jutaan per bulan,RUMAH BELANDA di Lokasi Premium Sayap Riau,"Riau, Bandung",8,4,15,LT : 1011 m²,LB : 600 m²
